Titre;Competences_requises;Niveau_detudes_requis;Type_de_contrat;Experience_requise;Emplacement;Description;Salaire
DEVELOPPEUR WEB;Python, Résolution de problèmes, Agilité, HTML/CSS, React, JavaScript, Django;Bac+2;CDI;Junior;Sousse;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;4449-7234
INGENIEUR LOGICIEL;Java, Travail d'équipe, Spring, Communication, Conception orientée objet, C++, Python;Bac+3;CDD;Expert;Sousse;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;2436-5129
ANALYSTE DE DONNEES;Curiosité, Pandas, SQL, R, Python, Analyse statistique, Présentation des données;Bac+4;CDI;Confirmé;Nabeul;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;3020-4433
ADMINISTRATEUR SYSTEME;Réseaux, Esprit d'équipe, Gestion des incidents, Gestion du temps, Active Directory, Sécurité, Linux;Bac+3;Stage;Confirmé;Tunis;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;4433-7778
ARCHITECTE CLOUD;Résolution de conflits, Cloud computing, Leadership, AWS, Azure, Microservices, Planification de l'infrastructure;Bac+3;Stage;Junior;Tunis;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;3223-7789
DEVELOPPEUR MOBILE;Collaboration, Gestion du stress, Java, Design patterns, iOS, Kotlin, Swift, Android;Bac+5;Stage;Expert;Bizerte;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2637-6234
SPECIALISTE EN CYBERSECURITE;Cryptographie, Esprit d'analyse, Ethical hacking, Sécurité des systèmes, Analyse des vulnérabilités, Flexibilité, Gestion des risques;Bac+4;CDD;Junior;Sousse;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;4782-7377
INGENIEUR DEVOPS;CI/CD, Automatisation, Collaboration, Linux, Scripting, AWS, Docker;Bac+4;CDD;Junior;Nabeul;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;3534-6594
INGENIEUR RESEAU;Documentation technique, Réseaux, Dépannage, Analyse des performances, Cisco, Résolution de problèmes, Sécurité des réseaux;Bac+4;CDD;Confirmé;Nabeul;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;3165-6332
DATA SCIENTIST;R, Big Data, Visualisation des données, Machine learning, Python, Analyse prédictive, Statistiques;Bac+4;CDD;Confirmé;Nabeul;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2891-6451
